epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1516,1.26652,3.12254,1.35997,0.40952,0.24969,0.22148,0.1603,1.13164,2.55501,1.31118,0.000300537,0.000300537,0.000300537
2,39.3264,1.0834,1.96571,1.25998,0.50809,0.53216,0.46623,0.33462,1.04727,1.4951,1.21906,0.000591587,0.000591587,0.000591587
3,56.1625,0.99326,1.6201,1.18878,0.42457,0.41637,0.34901,0.23947,1.06115,2.13969,1.24183,0.000870638,0.000870638,0.000870638
4,72.6148,0.96913,1.49076,1.17551,0.65369,0.61694,0.59676,0.44904,0.97815,1.30014,1.16833,0.000855005,0.000855005,0.000855005
5,89.2509,0.94692,1.43222,1.16613,0.64498,0.673,0.60542,0.45638,0.93595,1.07941,1.14749,0.000837007,0.000837007,0.000837007
6,105.53,0.91099,1.31,1.13331,0.63454,0.67869,0.61676,0.44555,0.98744,1.11318,1.17921,0.000819009,0.000819009,0.000819009
7,121.642,0.90337,1.29903,1.13382,0.62393,0.6009,0.59205,0.44624,0.94814,1.26563,1.14685,0.000801011,0.000801011,0.000801011
8,138.074,0.87674,1.22451,1.12241,0.73441,0.68766,0.6672,0.51074,0.899,0.96181,1.10985,0.000783013,0.000783013,0.000783013
9,154.088,0.87901,1.21392,1.12012,0.67818,0.69046,0.64852,0.49897,0.89535,1.02963,1.11845,0.000765014,0.000765014,0.000765014
10,170.331,0.86348,1.16158,1.11109,0.70852,0.70741,0.6712,0.51109,0.88774,0.96293,1.10134,0.000747016,0.000747016,0.000747016
11,186.478,0.84769,1.13042,1.10028,0.68058,0.67171,0.64426,0.48938,0.91661,1.02486,1.12085,0.000729018,0.000729018,0.000729018
12,202.734,0.83647,1.10795,1.10006,0.69325,0.73703,0.67309,0.51831,0.87962,0.93114,1.09882,0.00071102,0.00071102,0.00071102
13,219.012,0.83491,1.08354,1.09865,0.67857,0.70786,0.6633,0.51222,0.88004,0.91265,1.10852,0.000693022,0.000693022,0.000693022
14,235.202,0.8226,1.06536,1.09176,0.72649,0.71098,0.67215,0.51044,0.89278,0.94504,1.11601,0.000675023,0.000675023,0.000675023
15,251.376,0.80341,1.0141,1.0766,0.70457,0.70831,0.6532,0.50374,0.89421,0.99773,1.11903,0.000657025,0.000657025,0.000657025
16,267.679,0.81093,1.03886,1.08121,0.7106,0.67495,0.64558,0.49504,0.87904,0.95237,1.10778,0.000639027,0.000639027,0.000639027
17,283.732,0.8042,1.0332,1.07956,0.69008,0.72558,0.66435,0.51433,0.8802,0.92115,1.11041,0.000621029,0.000621029,0.000621029
18,299.928,0.78502,0.97135,1.06321,0.71132,0.74718,0.6733,0.51285,0.88934,0.90596,1.1025,0.000603031,0.000603031,0.000603031
19,316.03,0.77784,0.96693,1.0663,0.66044,0.65766,0.64589,0.48608,0.92692,1.12118,1.12658,0.000585032,0.000585032,0.000585032
20,332.252,0.77815,0.95537,1.06705,0.63192,0.61939,0.61419,0.46154,0.95898,1.17849,1.15069,0.000567034,0.000567034,0.000567034
21,348.453,0.78047,0.95349,1.06651,0.70337,0.71776,0.66285,0.51318,0.883,0.95061,1.1072,0.000549036,0.000549036,0.000549036
22,364.6,0.76578,0.91249,1.05524,0.7098,0.7228,0.67345,0.5211,0.84919,0.88485,1.09056,0.000531038,0.000531038,0.000531038
23,380.798,0.76956,0.92541,1.0643,0.71392,0.75484,0.67864,0.52135,0.86803,0.91776,1.09595,0.00051304,0.00051304,0.00051304
24,397.021,0.76303,0.92417,1.06225,0.73616,0.7151,0.68028,0.51984,0.89183,0.92033,1.11146,0.000495041,0.000495041,0.000495041
25,413.405,0.74693,0.88642,1.04493,0.72557,0.7281,0.68034,0.52281,0.90027,0.92571,1.11648,0.000477043,0.000477043,0.000477043
26,430.025,0.76198,0.90234,1.05835,0.72881,0.69263,0.67618,0.52423,0.86456,0.91537,1.08661,0.000459045,0.000459045,0.000459045
27,446.096,0.74502,0.89427,1.05419,0.7347,0.75711,0.69711,0.53553,0.86961,0.8633,1.09417,0.000441047,0.000441047,0.000441047
28,462.328,0.74243,0.86255,1.04539,0.69343,0.73654,0.67093,0.51194,0.87443,0.97084,1.09775,0.000423049,0.000423049,0.000423049
29,478.342,0.73852,0.87852,1.04785,0.72896,0.73662,0.67717,0.52285,0.86326,0.90734,1.09153,0.00040505,0.00040505,0.00040505
30,494.257,0.73089,0.84184,1.03791,0.7164,0.73645,0.67504,0.51373,0.88595,0.93749,1.11244,0.000387052,0.000387052,0.000387052
31,510.825,0.71476,0.82329,1.02884,0.70231,0.77332,0.67638,0.52684,0.85836,0.88344,1.09112,0.000369054,0.000369054,0.000369054
32,526.999,0.74039,0.84695,1.04674,0.72087,0.76752,0.69431,0.53695,0.85757,0.88149,1.09615,0.000351056,0.000351056,0.000351056
33,543.162,0.71478,0.80757,1.03084,0.68496,0.68208,0.65029,0.49977,0.88459,1.0328,1.10466,0.000333058,0.000333058,0.000333058
34,559.484,0.71118,0.81759,1.03269,0.74433,0.72954,0.67358,0.52017,0.85281,0.91177,1.08356,0.000315059,0.000315059,0.000315059
35,575.795,0.70979,0.80102,1.02797,0.71452,0.74442,0.67634,0.52182,0.86038,0.91191,1.09834,0.000297061,0.000297061,0.000297061
36,592.388,0.72295,0.83864,1.0385,0.71057,0.72108,0.66469,0.51568,0.85499,0.95245,1.09018,0.000279063,0.000279063,0.000279063
37,609.123,0.72527,0.8019,1.04018,0.71682,0.73816,0.66437,0.51225,0.86625,0.9841,1.09759,0.000261065,0.000261065,0.000261065
38,625.48,0.6995,0.77475,1.02215,0.7313,0.64711,0.64117,0.49027,0.87678,1.02592,1.10683,0.000243067,0.000243067,0.000243067
39,641.984,0.69598,0.76859,1.02427,0.75223,0.70097,0.6801,0.52296,0.85719,0.91837,1.09223,0.000225068,0.000225068,0.000225068
40,658.124,0.69875,0.79595,1.02809,0.74548,0.71633,0.68536,0.5268,0.85703,0.93994,1.09135,0.00020707,0.00020707,0.00020707
41,694.356,0.63699,0.62393,0.98713,0.73336,0.74217,0.69529,0.54494,0.8331,0.87217,1.07697,0.000189072,0.000189072,0.000189072
42,710.302,0.62384,0.59774,0.98025,0.7092,0.68641,0.65968,0.51202,0.84783,0.94873,1.08937,0.000171074,0.000171074,0.000171074
43,726.088,0.61576,0.56942,0.97396,0.71017,0.70641,0.66091,0.51264,0.85858,0.96081,1.09056,0.000153076,0.000153076,0.000153076
